uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-00987,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00922,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00077,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-00536,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-00969,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-01877,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02944,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01305,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,8,8,
nikluge-sa-2022-train-01356,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-00433,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01287,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-02175,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01797,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00644,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00643,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00028,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-01621,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-00189,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00237,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01689,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01241,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00817,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00192,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01112,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02964,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00258,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01801,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00726,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01961,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01875,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01638,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01128,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-01804,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02328,beta_n50_c3__seed456_proposed,2026-02-11T10:31:07.580602Z,valid,unknown,False,False,False,False,False,1,1,
