uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-00149,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-02879,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-01089,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-02651,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00192,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01398,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-00465,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-02326,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02645,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00987,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00945,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-00152,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01767,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01235,betatest_c1__seed42_proposed,2026-02-11T04:25:22.884656Z,valid,unknown,False,False,False,False,True,6,6,
