uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-00764,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01689,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02747,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01339,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-00044,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-02121,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01305,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,11,11,
nikluge-sa-2022-train-00712,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01692,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,6,6,
nikluge-sa-2022-train-00334,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00856,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00037,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-02891,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,6,6,
nikluge-sa-2022-train-01278,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00433,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02753,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-01876,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-02858,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01919,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00409,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-00860,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01261,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00594,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-02810,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-02936,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-02207,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01814,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01825,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,0,0,
nikluge-sa-2022-train-02691,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01811,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02099,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-02829,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01779,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02555,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-00672,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,7,7,
nikluge-sa-2022-train-00038,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-01046,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-00852,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-01892,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-02736,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-00098,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02191,experiment_mini2__seed123_proposed,2026-02-03T06:30:57.858585Z,valid,unknown,False,False,False,False,False,1,1,
