uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-02829,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00797,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-00474,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01065,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-01233,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01230,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-01089,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,7,7,
nikluge-sa-2022-train-00692,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,6,6,
nikluge-sa-2022-train-01557,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-02917,experiment_mini4_b1__seed42_proposed,2026-02-08T08:13:50.455170Z,valid,unknown,False,False,False,False,True,5,5,
