uid,run_id,timestamp_utc,split,case_type,structural_risk,parse_failed,generate_failed,fallback_used,polarity_conflict,final_triplet_count,stage1_triplet_count,text_preview
nikluge-sa-2022-train-02669,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02211,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01786,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02482,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,4,4,
nikluge-sa-2022-train-01939,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-00565,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01721,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,4,4,
nikluge-sa-2022-train-02384,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,3,3,
nikluge-sa-2022-train-00536,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,5,5,
nikluge-sa-2022-train-01823,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-01707,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,2,2,
nikluge-sa-2022-train-02651,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,2,2,
nikluge-sa-2022-train-02131,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-01813,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,True,3,3,
nikluge-sa-2022-train-00356,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02916,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,5,5,
nikluge-sa-2022-train-00546,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-00016,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,1,1,
nikluge-sa-2022-train-02850,pretest_c2_4__seed1_proposed,2026-02-11T02:41:50.054680Z,valid,unknown,False,False,False,False,False,2,2,
